country_name,country_code,indicator_name,indicator_code,year,gini,join_key
Colombia,COL,Gini index,SI.POV.GINI,2014.0,52.5,COL_2014.0
Colombia,COL,Gini index,SI.POV.GINI,2015.0,51.0,COL_2015.0
Colombia,COL,Gini index,SI.POV.GINI,2016.0,50.6,COL_2016.0
Colombia,COL,Gini index,SI.POV.GINI,2017.0,49.7,COL_2017.0
Colombia,COL,Gini index,SI.POV.GINI,2018.0,50.4,COL_2018.0
Colombia,COL,Gini index,SI.POV.GINI,2019.0,51.3,COL_2019.0
Colombia,COL,Gini index,SI.POV.GINI,2020.0,53.5,COL_2020.0
Colombia,COL,Gini index,SI.POV.GINI,2021.0,55.1,COL_2021.0
Colombia,COL,Gini index,SI.POV.GINI,2022.0,54.8,COL_2022.0
Colombia,COL,Gini index,SI.POV.GINI,2023.0,53.9,COL_2023.0
Colombia,COL,Gini index,SI.POV.GINI,2024.0,53.9,COL_2024.0
Norway,NOR,Gini index,SI.POV.GINI,2014.0,26.8,NOR_2014.0
Norway,NOR,Gini index,SI.POV.GINI,2015.0,27.5,NOR_2015.0
Norway,NOR,Gini index,SI.POV.GINI,2016.0,28.5,NOR_2016.0
Norway,NOR,Gini index,SI.POV.GINI,2017.0,27.0,NOR_2017.0
Norway,NOR,Gini index,SI.POV.GINI,2018.0,27.6,NOR_2018.0
Norway,NOR,Gini index,SI.POV.GINI,2019.0,27.7,NOR_2019.0
Norway,NOR,Gini index,SI.POV.GINI,2020.0,28.4,NOR_2020.0
Norway,NOR,Gini index,SI.POV.GINI,2021.0,29.1,NOR_2021.0
Norway,NOR,Gini index,SI.POV.GINI,2022.0,26.9,NOR_2022.0
Norway,NOR,Gini index,SI.POV.GINI,2023.0,26.5,NOR_2023.0
Norway,NOR,Gini index,SI.POV.GINI,2024.0,26.5,NOR_2024.0
Colombia,COL,Gini index,SI.POV.GINI,2025.0,53.9,COL_2025.0
Norway,NOR,Gini index,SI.POV.GINI,2025.0,26.5,NOR_2025.0
